Individuo,Alumno no. Cuenta,Orden de preferencia,Clave,Nombre de la Materia
96,307620830,1,2035,                     Finanzas Públicas
97,307087694,5,2039,Modelos y Simulación   
97,307087695,4,2032, Análisis de Regresión
97,307087696,3,2055, Series de Tiempo
97,307087697,2,2049, Evaluación de Proyectos
97,307087698,1,2046, Auditoria Actuarial
98,307049957,5,2032,Análisis de Regresión
98,307049958,4,2055,Series de Tiempo
98,307049959,3,2039,Modelos y Simulación
98,307049960,2,2031,Análisis Multivariado
98,307049961,1,2041,Muestreo
99,307687043,5,2046,           Auditoria Actuarial
99,307687044,4,2036,             Fianzas
99,307687045,3,2039,            Modelos y Simulación
99,307687046,2,2043,            Planeación Financiera
99,307687047,1,2054,       Presupuesto de Capital
100,307132550,5,2032,An lisis de regresion
100,307132551,4,2039,Modelos y Simulaci n
100,307132552,3,2055, Series de Tiempo
100,307132553,2,2031,  An lisis Multivariado
100,307132554,1,2041,  Muestreo
101,,5,2049,Evaluacion de proyectos 
101,,4,2043,Planeacion financiera 
101,,3,2032,Analisis de regresion
101,,2,2051,Finanzas internacionales 
101,,1,2054,Presupuesto de capital 
102,307321561,5,2033,1-Derivados
102,307321562,4,2039,2.-Modelos y Simulacion
102,307321563,3,2032,3.-Analisis de regresion
102,307321564,2,,4.-Econometria
102,307321565,1,2055,5.-Series de tiempo
103, 307138631 ,5,2033,1-Derivados
103, 307138631 ,4,2039,2.-Modelos y Simulacion
103, 307138631 ,3,2032,3.-Analisis de regresion
103, 307138631 ,2,2049,4.-Evaluacion de proyectos
103, 307138631 ,1,2055,5.-Series de tiempo
104,410077810,5,2039,     Modelos y Simulación
104,410077811,4,2032,     Analisis de Regresión
104,410077812,3,2049,     Evaluación de proyectos
104,410077813,2,2055,     Series de tiempo
104,410077814,1,2041,     Muestreo
105,,5,2033,Derivados
105,,4,2037, Investigaci n de Operaciones
105,,3,2612, Muestreo
105,,2,2040, Matem ticas Actuariales Aplicadas
105,,1,2030, An lisis de Datos Categ ricos
106,307288925,5,2048,                      Estadistica Bayesiana
106,307288926,4,2032,                    Analisis de Regresion
106,307288927,3,2031,                      Analisis Multivariado
106,307288928,2,2055,                      Series de Tiempo
106,307288929,1,2039,                      Modelos y Simulacio
107,,5,2043,1. Planeación Financiera
